Muestras;Original;           FFT;       Suavizada;       IFFT(FFT)
137;-0.0011351190000000;-0.1328148345976871 +(0.1139746273313376i);0.0022222038979638;-0.0011351190000000
138;-0.0005259100000000;0.0157163499336763 +(-0.0875814996092946i);0.0022452212747821;-0.0005259100000000
139;0.0002682950000000;0.0523778736213873 +(-0.0628972229142897i);0.0022683578885036;0.0002682950000000
140;0.0009523300000000;-0.2015745054719863 +(-0.1057371043213223i);0.0022916118084091;0.0009523300000000
141;0.0016363640000000;-0.0868132185942433 +(0.1605401328953507i);0.0023149810901293;0.0016363640000000
142;0.0023166670000000;0.0625522221935065 +(-0.0177308349933037i);0.0023384637758776;0.0023166670000000
143;0.0030178570000000;-0.0113938201534944 +(-0.0110163711207207i);0.0023620578946843;0.0030178570000000
144;0.0037500000000000;-0.1244596479206310 +(0.0787786749017790i);0.0023857614626323;0.0037500000000000
145;0.0045166670000000;-0.0414277150858421 +(0.0920551003074546i);0.0024095724830934;0.0045166670000000
146;0.0052166670000000;0.0414117894408741 +(-0.0242470737958143i);0.0024334889469672;0.0052166670000000
147;0.0057500000000000;0.0383693169577201 +(-0.0723698673959230i);0.0024575088329198;0.0057500000000000
148;0.0062678570000000;-0.2242897777221513 +(-0.1125695080456698i);0.0024816301076252;0.0062678570000000
149;0.0067500000000000;0.1410473432543663 +(-0.0168978311296626i);0.0025058507260067;0.0067500000000000
150;0.0072166670000000;-0.1163701772938431 +(0.0087277212038693i);0.0025301686314804;0.0072166670000000
151;0.0075178570000000;-0.0316741391012670 +(0.4950294594887463i);0.0025545817561993;0.0075178570000000
152;0.0078000000000000;0.0470714163971896 +(-0.1238425497848884i);0.0025790880212987;0.0078000000000000
153;0.0079375000000000;0.0672871435826848 +(-0.0887635510882677i);0.0026036853371428;0.0079375000000000
154;0.0081500000000000;0.0661854239856082 +(-0.0086168327405894i);0.0026283716035722;0.0081500000000000
155;0.0081785710000000;-0.0276442720941948 +(-0.1040288779430114i);0.0026531447101526;0.0081785710000000
156;0.0082166670000000;-0.0397282245929490 +(-0.0087903911005583i);0.0026780025364242;0.0082166670000000
157;0.0080535710000000;0.0516153283302877 +(-0.0323028839745608i);0.0027029429521522;0.0080535710000000
158;0.0079166670000000;-0.0041783162818544 +(0.0641482351159778i);0.0027279638175788;0.0079166670000000
159;0.0075909090000000;0.0409471392356352 +(-0.0464203295567170i);0.0027530629836747;0.0075909090000000
160;0.0073333330000000;-0.0833359795701958 +(0.0294974029943966i);0.0027782382923931;0.0073333330000000
161;0.0068666670000000;0.0379926600035812 +(0.0011654363315772i);0.0028034875769234;0.0068666670000000
162;0.0061964290000000;-0.0797857827321929 +(-0.0360901879724206i);0.0028288086619459;0.0061964290000000
163;0.0054833330000000;0.0460663439828756 +(-0.0663910828588784i);0.0028541993638877;0.0054833330000000
164;0.0047000000000000;-0.0098212595271552 +(-0.0539285394556388i);0.0028796574911790;0.0047000000000000
165;0.0038409090000000;0.0397365989906749 +(0.0268920880652595i);0.0029051808445100;0.0038409090000000
166;0.0031875000000000;0.0343061872321891 +(-0.0030138647665127i);0.0029307672170883;0.0031875000000000
167;0.0018616070000000;-0.0023036770469010 +(-0.0585486190744717i);0.0029564143948981;0.0018616070000000
168;0.0008058040000000;-0.0516713885658361 +(-0.0102984130274480i);0.0029821201569579;0.0008058040000000
169;-0.0008627230000000;-0.0425019828715923 +(0.0290571887659436i);0.0030078822755810;-0.0008627230000000
170;-0.0021131800000000;-0.0465527298474330 +(0.0065802512683512i);0.0030336985166349;-0.0021131800000000
171;-0.0033636360000000;0.0082599928048316 +(-0.1323210102436479i);0.0030595666398018;-0.0033636360000000
172;-0.0045166670000000;-0.0199032745489227 +(-0.0363010246770315i);0.0030854843988397;-0.0045166670000000
173;-0.0055535710000000;0.0227026611045617 +(0.0327561838771746i);0.0031114495418439;-0.0055535710000000
174;-0.0065166670000000;0.0622726422234585 +(0.0287571352696297i);0.0031374598115081;-0.0065166670000000
175;-0.0072812500000000;-0.0167333894816137 +(-0.0871996285004002i);0.0031635129453871;-0.0072812500000000
176;-0.0079000000000000;-0.0550939071921090 +(0.0787566404781353i);0.0031896066761590;-0.0079000000000000
177;-0.0082272730000000;-0.0485218393461903 +(0.0251103662528144i);0.0032157387318879;-0.0082272730000000
178;-0.0084642860000000;-0.0156773715029019 +(-0.0663466185948415i);0.0032419068362867;-0.0084642860000000
179;-0.0086666670000000;0.0110621371447189 +(-0.1417797311108624i);0.0032681087089805;-0.0086666670000000
180;-0.0087166670000000;0.0025021746525830 +(0.0220440311787203i);0.0032943420657698;-0.0087166670000000
181;-0.0086071430000000;0.0864530289429651 +(0.0175137661985706i);0.0033206046188940;-0.0086071430000000
182;-0.0084285710000000;0.0135694030984240 +(-0.0589178163701733i);0.0033468940772951;-0.0084285710000000
183;-0.0081666670000000;-0.0577464278923163 +(-0.0477855451931816i);0.0033732081468813;-0.0081666670000000
184;-0.0079285710000000;-0.0246646953681820 +(0.0162442840244147i);0.0033995445307908;-0.0079285710000000
185;-0.0075000000000000;-0.0920603397667659 +(-0.0470076740538439i);0.0034259009296555;-0.0075000000000000
186;-0.0071785710000000;-0.0558816963220924 +(-0.1282742913573967i);0.0034522750418650;-0.0071785710000000
187;-0.0066964290000000;-0.1049456172896539 +(-0.0684785116468676i);0.0034786645638297;-0.0066964290000000
188;-0.0062500000000000;-0.0425640899284404 +(-0.1741744855576906i);0.0035050671902453;-0.0062500000000000
